ocid,comprador,departamento,categoria,monto,dias_consulta,dias_consulta_origen,n_licitantes,adjudicado,descripcion
ocds-dgv273-seacev3-1245769,MUNICIPALIDAD DISTRITAL DE SAN ANTONIO DE CHUCA,AREQUIPA,goods,174600.0,2.0,declarado,16.0,True,"MALLA DE ALAMBRE DE FIERRO GALVANIZADO, PARA EL PROYECTO MEJORAMIENTO INTEGRAL DE RIEGO Y PRADERAS EN LOS ANEXOS DE COLCA, PILLONES, IMATA Y SAN ANTONIO DE CHUCA DEL DISTRITO DE SAN ANTONIO DE CHUCA"
ocds-dgv273-seacev3-1245756,MUNICIPALIDAD DISTRITAL DE VILQUE,PUNO,works,0.0,2.0,declarado,,False,"CONTRATACIÓN DE EJECUCION DE IOARR ¿RENOVACION DE PUENTE; EN EL(LA) CCOTAÑA, RUTA PU-1039 DEL CENTRO POBLADO DE CCOTAÑA DISTRITO DE VILQUE, PROVINCIA PUNO, DEPARTAMENTO PUNO¿. CON CUI N° 2678050"
ocds-dgv273-seacev3-1245752,MUNICIPALIDAD DISTRITAL DE BARRANCO,LIMA,works,1748418.63,2.0,declarado,,False,RECUPERACION DEL SERVICIO DE MOVILIDAD URBANA EN 3 UNIDADES PRODUCTORAS DISTRITO DE BARRANCO DE LA PROVINCIA DE LIMA DEL DEPARTAMENTO DE LIMA CON CUI N° 2613854
ocds-dgv273-seacev3-1245748,MUNICIPALIDAD DISTRITAL DE CODO DE POZUZO,HUANUCO,services,80000.0,2.0,declarado,6.0,True,"SUPERVISION DE LA OBRA: ¿MEJORAMIENTO DE LOS SERVICIOS DEPORTIVOS DEL ESTADIO MUNICIPAL DEL DISTRITO DE CODO DEL POZUZO - PROVINCIA DE PUERTO INCA - DEPARTAMENTO DE HUANUCO¿- SEGUNDA ETAPA, CUI N° 2538660"
ocds-dgv273-seacev3-1245747,MUNICIPALIDAD DISTRITAL DE ALTO SELVA ALEGRE,AREQUIPA,goods,0.0,2.0,declarado,,False,CONTRATACIÓN DE BIENES ADQUISICIÓN DE EPPS CORRESPONDIENTE AL PERIODO DEL AÑO 2026 PARA EL\nPERSONAL DE LA SUB GERENCIA DE LIMPIEZA PÚBLICA Y GESTIÓN AMBIENTAL DE LA MUNICIPALIDAD DISTRITAL DE ALTO SELVA ALEGRE.
ocds-dgv273-seacev3-1245712,MUNICIPALIDAD DISTRITAL DE PICHACANI,PUNO,goods,248000.0,2.0,declarado,9.0,True,"ADQUISICION DE 62 ALPACAS HUACAYA MACHOS REPRODUCTORES PARA EL PROYECTO DE INVERSION DENOMINADO ""MEJORAMIENTO DE LOS SERVICIOS DE APOYO AL DESARROLLO PRODUCTIVO EN PRODUCTORES AGROPECUARIOS DEL DISTRITO DE PICHACANI DE LA PROVINCIA DE PUNO DEL DEPARTAMENTO DE PUNO"" con CUI 2624235"
ocds-dgv273-seacev3-1245693,MUNICIPALIDAD DISTRITAL DE CERRO COLORADO,AREQUIPA,services,191962.16,2.0,declarado,,False,"CONTRATACION DE LA SUPERVISIÓN DE LA OBRA IOARR ""CONSTRUCCIÓN DE OBRAS DE ARTE Y BANCA, REMODELACIÓN DE CAMINO PEATONAL, ADQUISICIÓN DE LUMINARIAS, ADEMÁS DE OTROS ACTIVOS EN LA PLAZA LAS AMÉRICAS, DISTRITO DE CERRO COLORADO, PROVINCIA DE AREQUIPA, DEPARTAMENTO DE AREQUIPA"" CON CUI 2629239."
ocds-dgv273-seacev3-1245627,MUNICIPALIDAD DISTRITAL DE CERRO COLORADO,AREQUIPA,services,0.0,2.0,declarado,,False,"CONTRATACIÓN DE LA EJECUCION DEL SERVICIO DE ""MANTENIMIENTO DE LA LOSA DEPORTIVA VILLA MAGISTERIAL, DISTRITO DE CERRO COLORADO, PROVINCIA DE AREQUIPA, DEPARTAMENTO DE AREQUIPA""."
ocds-dgv273-seacev3-1245610,MUNICIPALIDAD PROVINCIAL DE CONCEPCION,JUNIN,services,52677.03,2.0,declarado,6.0,True,"CONTRATACIÓN DE CONSULTORÍA DE OBRA PARA LA SUPERVISIÓN DE LA IOARR: ¿RENOVACION DE PUENTE; EN EL(LA) RIO SECO DEL CAMINO VECINAL CON CODIGO DE RUTA JU-1143 EN EL CENTRO POBLADO YANAMUCLO, DISTRITO DE MATAHUASI, PROVINCIA CONCEPCION, DEPARTAMENTO JUNIN¿ con CUI N°2678384"
ocds-dgv273-seacev3-1245608,ENTIDAD PRESTADORA DE SERVICIO DE SANEAMIENTO DE LAMBAYEQUE S.A.,LAMBAYEQUE,services,217850.35,2.0,declarado,,False,"SERVICIO DE CONSULTORÍA DE OBRA PARA SUPERVISIÓN DE EJECUCIÓN DE LA OBRA REPARACIÓN DE LA RED DE ALCANTARILLADO; EN EL(LA)AV. EL PROGRESO, CA.22 DE NOVIEMBRE, CA.7 DE ENERO, JOSÉ BALTA, CA. SAN JUAN Y CA. LA VICTORIA, DISTRITO DE ÍLLIMO, PROVINCIA DE LAMBAYEQUE, DEPARTAMENTO DE LAMBAYEQUE¿ CUI N°269"
ocds-dgv273-seacev3-1245604,MUNICIPALIDAD DISTRITAL DE INDEPENDENCIA - HUARAZ,ANCASH,works,3466721.09,2.0,declarado,,False,"CONTRATACIÓN PARA LA EJECUCIÓN DE LA OBRA: ¿MEJORAMIENTO DEL SERVICIO DE EDUCACIÓN EN LA INSTITUCIÓN EDUCATIVA N° 86088, SEÑOR DE LOS MILAGROS, DEL DISTRITO DE INDEPENDENCIA ¿ PROVINCIA DE HUARAZ ¿ DEPARTAMENTO DE ÁNCASH¿, CON CUI N° 238279"
ocds-dgv273-seacev3-1245599,MUNICIPALIDAD DISTRITAL DE JESUS MARIA,LIMA,services,59067.71,2.0,declarado,2.0,True,CONTRATACIÓN DE ¿SERVICIO DE MANTENIMIENTO PREVENTIVO DE DIECIOCHO (18) CAMIONETAS CON GARANTIA VIGENTE PARA LA MDJM¿
ocds-dgv273-seacev3-1245832,INSTITUTO NACIONAL DE DEFENSA DE LA COMPETENCIA Y DE LA PROTECCION DE LA PROPIEDAD INTELECTUAL,LIMA,services,311785.0,2.0,declarado,2.0,False,SERVICIO DE NOTIFICACIONES NOTARIALES EN LIMA METROPOLITANA
ocds-dgv273-seacev3-1245828,GOBIERNO REGIONAL DE AYACUCHO - UNIDAD EJECUTORA RED DE SALUD HUAMANGA,AYACUCHO,goods,226230.0,2.0,declarado,44.0,False,ADQUISICIÓN DE EQUIPOS (CENTRIFUGA DE MESA PARA 24 TUBOS) PARA EL CUMPLIMIENTO DE LAS ACTIVIDADES DE DIAGNOSTICO DE TUBERCULOSIS PULMONAR EN LA POBLACIÓN EN EL ÁMBITO DE LA RED DE SALUD HUAMANGA
ocds-dgv273-seacev3-1245827,UNIVERSIDAD NACIONAL DE TRUJILLO,LA LIBERTAD,services,0.0,2.0,declarado,,False,"CONTRATACION DEL SERVICIO DE CONSULTORIA PARA LA ELABORACIÓN DEL ESTUDIO DE PRE INVERSIÓN MEJORAMIENTO DEL SERVICIO DE EXTENSION CULTURAL, PROYECCION SOCIAL Y EDUCACION SUPERIOR UNIVERSITARIA EN MUSEO DE ARQUEOLOGIA, ANTROPOLOGIA E HISTORIA DE LA UNIVERSIDAD NACIONAL DE TRUJILLO, DISTRITO DE TRUJILLO DE LA PROVINCIA DE TRUJILLO DEL DEPARTAMENTO DE LA LIBERTAD"
ocds-dgv273-seacev3-1245824,MUNICIPALIDAD DISTRITAL DE ACORIA,HUANCAVELICA,works,1045981.08,2.0,declarado,6.0,False,"EJECUCION DE OBRA:CREACION DEL SERVICIO DE PROVISIÓN DE AGUA PARA RIEGO EN EL CENTRO POBLADO DE QUIMINA DEL DISTRITO DE ACORIA DE LA PROVINCIA DE HUANCAVELICA DEL DEPARTAMENTO DE HUANCAVELICA,CON CUI Nº 2624445."
ocds-dgv273-seacev3-1245820,MUNICIPALIDAD DISTRITAL DE SAN MARCOS,ANCASH,services,0.0,2.0,declarado,,False,"CONTRATACIÓN DEL SERVICIO DE CONSULTORIA DE OBRA PARA LA SUPERVISIÓN DE EJECUCION  DE  OBRA: ""CREACION DEL SERVICIOS DE ESPACIOS PÚBLICOS URBANOS EN EL PARQUE RECREACIONAL DE GOCHAPATAC DEL CENTRO POBLADO PICHIU SAN PEDRO DISTRITO DE SAN MARCOS DE LA PROVINCIA DE HUARI DEL DEPARTAMENTO DE ANCASH"", C"
