comprador,departamento,procesos_adjudicados,con_postor_unico,pct_postor_unico,monto_total,supera_minimo
MUNICIPALIDAD DISTRITAL DE HUASMIN,CAJAMARCA,18,3,16.67,14698984.0,True
GOBIERNO REGIONAL DE JUNIN - HOSPITAL DANIEL ALCIDES CARRION - HUANCAYO,JUNIN,32,5,15.62,5359937.0,True
MUNICIPALIDAD DISTRITAL DE ECHARATE,CUSCO,20,3,15.0,3797269.0,True
MUNICIPALIDAD DISTRITAL DE CERRO COLORADO,AREQUIPA,47,7,14.89,80456640.0,True
MUNICIPALIDAD PROVINCIAL DE MARISCAL NIETO - MOQUEGUA,MOQUEGUA,28,4,14.29,3958263.0,True
SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE AREQUIPA,AREQUIPA,28,4,14.29,19286954.0,True
UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU,JUNIN,21,3,14.29,8436215.0,True
MUNICIPALIDAD PROVINCIAL DE TAMBOPATA,MADRE DE DIOS,22,3,13.64,12459983.0,True
HOSPITAL PUENTE PIEDRA - CARLOS LANFRANCO LA HOZ - CLL4,LIMA,15,2,13.33,4216267.0,True
MUNICIPALIDAD DISTRITAL DE INDEPENDENCIA - HUARAZ,ANCASH,38,5,13.16,24991616.0,True
PODER JUDICIAL,LIMA,31,4,12.9,16793800.0,True
SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL,LIMA,34,4,11.76,86828333.0,True
GOBIERNO REGIONAL DE HUANUCO - RED DE SALUD HUANUCO,HUANUCO,17,2,11.76,2246123.0,True
MUNICIPALIDAD DISTRITAL DE CASTILLA,PIURA,17,2,11.76,10945192.0,True
FUERZA AEREA DEL PERU,LIMA,66,7,10.61,65706668.0,True
MUNICIPALIDAD PROVINCIAL DEL CALLAO,CALLAO,19,2,10.53,39103612.0,True
GOBIERNO REGIONAL DE CUSCO - DIRECCION REGIONAL DE TRANSPORTES Y COMUNICACIONES CUSCO,CUSCO,30,3,10.0,17588414.0,True
MUNICIPALIDAD DISTRITAL DE SAN MARTIN DE PORRES,LIMA,22,2,9.09,17037296.0,True
EJERCITO PERUANO,LIMA,256,19,7.42,124041309.0,True
MUNICIPALIDAD PROVINCIAL DE HUANCAYO,JUNIN,27,2,7.41,25740324.0,True
MARINA DE GUERRA DEL PERU,CALLAO,55,4,7.27,29625537.0,True
"CREACION Y MEJORAMIENTO DEL SERVICIO DE CATASTRO EN DISTRITOS SELECCIONADOS DE LAS PROVINCIAS DE LIMA, LAMBAYEQUE, CHICLAYO Y PIURA",LIMA,28,2,7.14,30918800.0,True
MUNICIPALIDAD PROVINCIAL DE SAN ROMAN - JULIACA,PUNO,47,3,6.38,30433292.0,True
GOBIERNO REGIONAL DE APURIMAC  - UNIDAD EJECUTORA GERENCIA SUB REGIONAL DE COTABAMBAS,APURIMAC,16,1,6.25,5257224.0,True
MUNICIPALIDAD PROVINCIAL DE AYABACA,PIURA,16,1,6.25,8432019.0,True
MUNICIPALIDAD PROVINCIAL DE ILO,MOQUEGUA,16,1,6.25,10295920.0,True
MUNICIPALIDAD PROVINCIAL DE CAJAMARCA,CAJAMARCA,17,1,5.88,18139791.0,True
MUNICIPALIDAD METROPOLITANA DE LIMA,LIMA,52,3,5.77,70183169.0,True
