comprador,departamento,procesos_adjudicados,con_postor_unico,pct_postor_unico,monto_total,supera_minimo
MUNICIPALIDAD DISTRITAL DE SICSIBAMBA,ANCASH,1,1,100.0,56840.0,False
SECRETARIA TECNICA DEL CONSEJO FISCAL MEF,LIMA,1,1,100.0,425680.0,False
SERVICIO DE ADMINISTRACION TRIBUTARIA DE HUAMANGA - AYNI MUNICIPAL,AYACUCHO,1,1,100.0,168000.0,False
UNIVERSIDAD NACIONAL AUTONOMA DE CHOTA,CAJAMARCA,1,1,100.0,53760.0,False
UNIVERSIDAD NACIONAL DE FRONTERA - SULLANA,PIURA,1,1,100.0,294248.0,False
UNIVERSIDAD NACIONAL TECNOLÓGICA DE FRONTERA SAN IGNACIO DE LOYOLA,CAJAMARCA,1,1,100.0,540000.0,False
ZONA REGISTRAL NRO XIV SEDE AYACUCHO,AYACUCHO,1,1,100.0,199990.0,False
INSTITUTO NACIONAL DE CALIDAD - INACAL,LIMA,7,6,85.71,2018109.0,False
INSTITUTO DE INVESTIGACIONES DE LA AMAZONIA PERUANA - I.I.A.P.,LORETO,6,5,83.33,1015217.0,False
UNIDAD EJECUTORA 012 - OFICINA GENERAL DE INVERSIONES Y PROYECTOS,LIMA,6,5,83.33,443800.0,False
GOBIERNO REGIONAL DE ANCASH - SUB REGION PACIFICO,ANCASH,9,7,77.78,4249725.0,False
HOSPITAL NACIONAL DOCENTE MADRE NIÑO - SAN BARTOLOME,LIMA,9,7,77.78,9740575.0,False
MINISTERIO DE COMERCIO EXTERIOR Y TURISMO,LIMA,9,7,77.78,3436422.0,False
MINISTERIO DE TRANSPORTES Y COMUNICACIONES,LIMA,13,10,76.92,21572164.0,False
HOSPITAL NACIONAL DOS DE MAYO,LIMA,12,9,75.0,6640272.0,False
GOBIERNO REGIONAL DE ICA-AGRICULTURA,ICA,4,3,75.0,349800.0,False
"INSTITUTO GEOLOGICO, MINERO Y METALURGICO",LIMA,4,3,75.0,232197.0,False
MUNICIPALIDAD DISTRITAL DE PROVIDENCIA,AMAZONAS,4,3,75.0,2752180.0,False
UNIVERSIDAD NACIONAL DANIEL ALCIDES CARRION,PASCO,7,5,71.43,1347545.0,False
HOSPITAL JOSE AGURTO TELLO DE CHOSICA,LIMA,6,4,66.67,2964141.0,False
INSTITUTO NACIONAL MATERNO PERINATAL,LIMA,6,4,66.67,2484739.0,False
CORTE SUPERIOR DE JUSTICIA DE LA LIBERTAD,LA LIBERTAD,3,2,66.67,950397.0,False
GOBIERNO REGIONAL DE PUNO-SALUD MACUSANI,PUNO,3,2,66.67,1719958.0,False
JEFATURA DE LA X DIRECCION TERRITORIAL POLICIAL - DIRTEPOL DEL CUSCO,CUSCO,3,2,66.67,987030.0,False
MINISTERIO PUBLICO-GERENCIA ADMINISTRATIVA DE SAN MARTIN,SAN MARTIN,3,2,66.67,2114103.0,False
MUNICIPALIDAD DISTRITAL DE MILPUC,AMAZONAS,3,2,66.67,1602212.0,False
MUNICIPALIDAD DISTRITAL DE OCUMAL,AMAZONAS,3,2,66.67,1513837.0,False
MUNICIPALIDAD DISTRITAL DE PAMPA HERMOZA - LORETO,LORETO,3,2,66.67,1747747.0,False
MUNICIPALIDAD DISTRITAL DE RIMAC,LIMA,3,2,66.67,4862363.0,False
MUNICIPALIDAD DISTRITAL DE SAN MIGUEL DE EL FAIQUE,PIURA,3,2,66.67,768429.0,False
PROGRAMA NACIONAL DE ASISTENCIA SOLIDARIA PENSION 65,LIMA,3,2,66.67,657416.0,False
UNIDAD EJECUTORA MEJORAMIENTO DEL SISTEMA DE INFORMACION DE LA SUNAT - MSI,LIMA,3,2,66.67,128500.0,False
AUTORIDAD NACIONAL DEL AGUA,LIMA,8,5,62.5,3125363.0,False
PERUPETRO S.A.,LIMA,8,5,62.5,12802553.0,False
GOBIERNO REGIONAL DE LA LIBERTAD-INSTITUTO REGIONAL DE OFTALMOLOGIA,LA LIBERTAD,13,8,61.54,7272696.0,False
CORTE SUPERIOR DE JUSTICIA DE AYACUCHO,AYACUCHO,5,3,60.0,1343837.0,False
GOBIERNO REGIONAL DE LA LIBERTAD - HOSPITAL REGIONAL DOCENTE DE TRUJILLO,LA LIBERTAD,5,3,60.0,2793564.0,False
"INSTITUTO NACIONAL DE RADIO, TELEVISION DEL PERU",LIMA,5,3,60.0,462855.0,False
MUNICIPALIDAD DISTRITAL DE OLLEROS - CHACHAPOYAS,AMAZONAS,5,3,60.0,5817894.0,False
MINISTERIO DE SALUD,LIMA,7,4,57.14,6448271.0,False
GOBIERNO REGIONAL DE CAJAMARCA-HOSPITAL GENERAL DE JAEN,CAJAMARCA,10,5,50.0,2656733.0,False
PROGRAMA NACIONAL DE SANEAMIENTO RURAL,LIMA,10,5,50.0,4270175.0,False
CORTE SUPERIOR DE JUSTICIA DE LIMA,LIMA,8,4,50.0,9380802.0,False
GOBIERNO REGIONAL DE PASCO-SALUD AIS HOSPITAL DANIEL A.CARRION,PASCO,6,3,50.0,4165328.0,False
MUNICIPALIDAD DISTRITAL DE YURA,AREQUIPA,6,3,50.0,12361415.0,False
UNIDAD EJECUTORA 140 HOSPITAL DE HUAYCAN,LIMA,6,3,50.0,9434755.0,False
CONSERVATORIO NACIONAL DE MUSICA,LIMA,4,2,50.0,358955.0,False
FONDO DE ASEGURAMIENTO EN SALUD DE LA POLICIA NACIONAL DEL PERU,LIMA,4,2,50.0,3598979.0,False
FONDO MIVIVIENDA S.A.,LIMA,4,2,50.0,3627840.0,False
INSTITUTO NACIONAL DE REHABILITACION,LIMA,4,2,50.0,950469.0,False
MUNICIPALIDAD DISTRITAL DE CHACLACAYO,LIMA,4,2,50.0,1404093.0,False
MUNICIPALIDAD DISTRITAL DE COCHAMAL,AMAZONAS,4,2,50.0,3570712.0,False
MUNICIPALIDAD DISTRITAL DE INDEPENDENCIA - LIMA,LIMA,4,2,50.0,698383.0,False
MUNICIPALIDAD DISTRITAL DE JALCA GRANDE,AMAZONAS,4,2,50.0,5187333.0,False
PROGRAMA NACIONAL DE INFRAESTRUCTURA EDUCATIVA UE 108 - PRONIED,LIMA,4,2,50.0,2124369.0,False
SERVICIOS POSTALES DEL PERU S.A.,LIMA,4,2,50.0,1688400.0,False
CORTE SUPERIOR DE JUSTICIA DE APURIMAC,APURIMAC,2,1,50.0,369110.0,False
CORTE SUPERIOR DE JUSTICIA DE CUSCO,CUSCO,2,1,50.0,2193157.0,False
CORTE SUPERIOR DE JUSTICIA DE LAMBAYEQUE,LAMBAYEQUE,2,1,50.0,172032.0,False
DIRECCION EJECUTIVA DE EDUCACION Y DOCTRINA PNP,LIMA,2,1,50.0,2209586.0,False
EMPRESA DE GENERACION ELECTRICA DEL SUR S.A.,TACNA,2,1,50.0,372730.0,False
GOBIERNO REGIONAL DE AREQUIPA - HOSPITAL CENTRAL DE MAJES ING. ANGEL GABRIEL CHURA GALLEGOS,AREQUIPA,2,1,50.0,163062.0,False
GOBIERNO REGIONAL DE CAJAMARCA UNIDAD EJECUTORA PROGRAMAS REGIONALES - PROREGION,CAJAMARCA,2,1,50.0,255835797.0,False
GOBIERNO REGIONAL DE CAJAMARCA-SALUD CUTERVO,CAJAMARCA,2,1,50.0,384402.0,False
GOBIERNO REGIONAL DE CUSCO-RED DE SERVICIOS DE SALUD CUSCO NORTE,CUSCO,2,1,50.0,538460.0,False
GOBIERNO REGIONAL DE ICA - PROYECTO ESPECIAL TAMBO CCARACOCHA,ICA,2,1,50.0,8475278.0,False
GOBIERNO REGIONAL DE PASCO - DIRECCION  REGIONAL  DE TRANSPORTES Y COMUNICACIONES,PASCO,2,1,50.0,534333.0,False
GOBIERNO REGIONAL DE PUNO-SALUD YUNGUYO,PUNO,2,1,50.0,137600.0,False
GOBIERNO REGIONAL DE UCAYALI - RED DE SALUD N° 02 FEDERICO BASADRE,UCAYALI,2,1,50.0,199331.0,False
GOBIERNO REGIONAL DEL CALLAO - HOSPITAL DANIEL ALCIDES CARRION,CALLAO,2,1,50.0,1096000.0,False
HOSPITAL NACIONAL HIPOLITO UNANUE,LIMA,2,1,50.0,1333729.0,False
INSTITUTO NACIONAL DE INVESTIGACION EN GLACIARES Y ECOSISTEMAS DE MONTAÑA,LIMA,2,1,50.0,1022000.0,False
MINISTERIO DE AGRICULTURA Y RIEGO,LIMA,2,1,50.0,170479.0,False
MINISTERIO PUBLICO - GERENCIA ADMINISTRATIVA DE AMAZONAS,AMAZONAS,2,1,50.0,2668400.0,False
MINISTERIO PUBLICO - GERENCIA ADMINISTRATIVA DE LA LIBERTAD,LA LIBERTAD,2,1,50.0,334687.0,False
MUNICIPALIDAD DISTRITAL DE AWAJUN,SAN MARTIN,2,1,50.0,1336469.0,False
MUNICIPALIDAD DISTRITAL DE BELLAVISTA - PROV. CALLAO,CALLAO,2,1,50.0,3437447.0,False
MUNICIPALIDAD DISTRITAL DE CHAZUTA,SAN MARTIN,2,1,50.0,1800270.0,False
MUNICIPALIDAD DISTRITAL DE CHETILLA,CAJAMARCA,2,1,50.0,404902.0,False
MUNICIPALIDAD DISTRITAL DE DANIEL HERNANDEZ,HUANCAVELICA,2,1,50.0,1342466.0,False
MUNICIPALIDAD DISTRITAL DE ORONCCOY,AYACUCHO,2,1,50.0,246026.0,False
MUNICIPALIDAD DISTRITAL DE PACHIA,TACNA,2,1,50.0,2608720.0,False
MUNICIPALIDAD DISTRITAL DE PARINARI,LORETO,2,1,50.0,1070683.0,False
MUNICIPALIDAD DISTRITAL DE SAN JACINTO,TUMBES,2,1,50.0,204046.0,False
MUNICIPALIDAD DISTRITAL DE SAN JERONIMO DE TUNAN,JUNIN,2,1,50.0,973895.0,False
MUNICIPALIDAD DISTRITAL DE SAN JUAN DE LOPECANCHA,AMAZONAS,2,1,50.0,1377941.0,False
MUNICIPALIDAD DISTRITAL DE SAN MIGUEL DE MAYOCC,HUANCAVELICA,2,1,50.0,146419.0,False
MUNICIPALIDAD DISTRITAL DE SANTA CRUZ DE FLORES,LIMA,2,1,50.0,662064.0,False
MUNICIPALIDAD DISTRITAL DE SANTA LUCIA - LAMPA,PUNO,2,1,50.0,709040.0,False
MUNICIPALIDAD DISTRITAL DE SARAYACU,LORETO,2,1,50.0,404290.0,False
MUNICIPALIDAD DISTRITAL DE TONGOD,CAJAMARCA,2,1,50.0,7885492.0,False
MUNICIPALIDAD DISTRITAL DE YAMANGO,PIURA,2,1,50.0,5704919.0,False
MUNICIPALIDAD PROVINCIAL DE RODRIGUEZ DE MENDOZA - SAN NICOLAS,AMAZONAS,2,1,50.0,487000.0,False
ORGANISMO DE FORMALIZACION DE LA PROPIEDAD INFORMAL - COFOPRI,LIMA,2,1,50.0,460800.0,False
PROGRAMA AGUA SEGURA PARA LIMA Y CALLAO,LIMA,2,1,50.0,480300.0,False
PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL - PNCVFS,LIMA,2,1,50.0,610000.0,False
PROGRAMA NACIONAL DE APOYO DIRECTO A LOS MAS POBRES,LIMA,2,1,50.0,417013.0,False
TRIBUNAL CONSTITUCIONAL,LIMA,2,1,50.0,1743746.0,False
"PROYECTO ESPECIAL DE DESARROLLO DEL VALLE DE LOS RÍO APURIMAC, ENE Y MANTARO- PROVRAEM",AYACUCHO,13,6,46.15,4264865.0,False
COMISION NACIONAL DE INVESTIGACION Y DESARROLLO AEROESPACIAL,LIMA,11,5,45.45,2955924.0,False
OFICINA DE NORMALIZACION PREVISIONAL,LIMA,9,4,44.44,5873928.0,False
INSTITUTO DEL MAR DEL PERU,CALLAO,7,3,42.86,1371728.0,False
GOBIERNO REGIONAL DE LA LIBERTAD-SALUD UTES TRUJILLO ESTE,LA LIBERTAD,12,5,41.67,3981009.0,False
INSTITUTO NACIONAL DE OFTALMOLOGIA,LIMA,10,4,40.0,3234574.0,False
CORPORACION PERUANA DE AEROPUERTOS Y AVIACION COMERCIAL S.A.- CORPAC,CALLAO,5,2,40.0,7862091.0,False
DIRECCION DE REDES INTEGRADAS DE SALUD LIMA ESTE,LIMA,5,2,40.0,1824059.0,False
GOBIERNO REGIONAL DE SAN MARTIN - UNIDAD EJECUTORA HOSPITAL II-2 TARAPOTO,SAN MARTIN,5,2,40.0,7331097.0,False
MUNICIPALIDAD DISTRITAL DE MARCAPOMACOCHA,JUNIN,5,2,40.0,2420618.0,False
MUNICIPALIDAD DISTRITAL DE SITACOCHA,CAJAMARCA,5,2,40.0,1735060.0,False
ORGANISMO TECNICO DE LA ADMINISTRACION DE SERVICIOS DE SANEAMIENTO,LIMA,5,2,40.0,535445.0,False
UNIVERSIDAD NACIONAL DE BARRANCA,LIMA,5,2,40.0,505842.0,False
UNIVERSIDAD NACIONAL DE HUANCAVELICA,HUANCAVELICA,5,2,40.0,1699050.0,False
UNIVERSIDAD NACIONAL DE JULIACA,PUNO,5,2,40.0,1409609.0,False
UNIVERSIDAD NACIONAL DE TUMBES,TUMBES,13,5,38.46,6549679.0,False
GOBIERNO REGIONAL DE LAMBAYEQUE-TRANSPORTES,LAMBAYEQUE,8,3,37.5,8399514.0,False
GOBIERNO REGIONAL DE TUMBES - DIRECCION REGIONAL AGRARIA TUMBES,TUMBES,8,3,37.5,3188237.0,False
SUPERINTENDENCIA NACIONAL DE SERVICIOS DE SANEAMIENTO,LIMA,8,3,37.5,4801149.0,False
DIRECCION DE SALUD IV L.E. - UNIDAD EJECUTORA HOSPITAL SAN JUAN DE LURIGANCHO,LIMA,11,4,36.36,5493815.0,False
HOSPITAL DE EMERGENCIAS PEDIATRICAS,LIMA,11,4,36.36,2300057.0,False
INSTITUTO NACIONAL DE INNOVACION AGRARIA - INIA,LIMA,14,5,35.71,5188010.0,False
SISTEMA METROPOLITANO DE LA SOLIDARIDAD,LIMA,14,5,35.71,17808046.0,False
DIRECCION DE ECONOMIA Y FINANZAS DE LA POLICIA NACIONAL DEL PERU - PNP,LIMA,12,4,33.33,37319310.0,False
INSTITUTO GEOFISICO DEL PERU,LIMA,12,4,33.33,1810560.0,False
PROGRAMA NACIONAL DE SANEAMIENTO URBANO,LIMA,12,4,33.33,37722690.0,False
CAJA DE PENSIONES MILITAR - POLICIAL,LIMA,6,2,33.33,1307398.0,False
CORTE SUPERIOR DE JUSTICIA DE PUNO,PUNO,6,2,33.33,1460458.0,False
EMPRESA DE ELECTRICIDAD DEL PERÚ S.A. - ELECTROPERU,LIMA,6,2,33.33,57977742.0,False
INPE-DIRECCION REGIONAL LIMA,LIMA,6,2,33.33,14215065.0,False
CONSEJO NACIONAL DE LA MAGISTRATURA,LIMA,3,1,33.33,1124041.0,False
CORTE SUPERIOR DE JUSTICIA DE HUANUCO,HUANUCO,3,1,33.33,1438651.0,False
EMPRESA .DE SERVICIOS ELECTRICOS MUNICIPALES DE PARAMONGA S.A.,LIMA,3,1,33.33,409060.0,False
FONDO NACIONAL DE FINANCIAMIENTO DE LA ACTIVIDAD EMPRESARIAL - FONAFE,LIMA,3,1,33.33,6146322.0,False
GOBIERNO REGIONAL CAJAMARCA UNIDAD EJECUTORA DE SALUD SANTA CRUZ,CAJAMARCA,3,1,33.33,191179.0,False
GOBIERNO REGIONAL DE AYACUCHO-TRANSPORTES,AYACUCHO,3,1,33.33,890584.0,False
GOBIERNO REGIONAL DE CAJAMARCA-EDUCACION CAJAMARCA,CAJAMARCA,3,1,33.33,1346974.0,False
GOBIERNO REGIONAL DE MOQUEGUA - PROYECTO ESPECIAL REGIONAL PASTO GRANDE,MOQUEGUA,3,1,33.33,439512.0,False
GOBIERNO REGIONAL DE PUNO - SALUD SAN ANTONIO DE PUTINA,PUNO,3,1,33.33,315416.0,False
GOBIERNO REGIONAL DE SAN MARTIN - DIRECCION REGIONAL AGRARIA,SAN MARTIN,3,1,33.33,836531.0,False
GOBIERNO REGIONAL DE UCAYALI - GERENCIA SUB REGIONAL DE PURÚS,UCAYALI,3,1,33.33,588407.0,False
HOSPITAL SANTA ROSA,LIMA,3,1,33.33,5399408.0,False
INPE-DIRECCION REGIONAL SUR ORIENTE CUSCO,CUSCO,3,1,33.33,4174736.0,False
MINISTERIO DE DESARROLLO E INCLUSION SOCIAL,LIMA,3,1,33.33,886466.0,False
MINISTERIO DEL INTERIOR - PNP UE 001 OGA,LIMA,3,1,33.33,108991505.0,False
MUNICIPALIDAD DISTRITAL DE ASIA - CAÑETE,LIMA,3,1,33.33,1574501.0,False
MUNICIPALIDAD DISTRITAL DE CHAPARRA,AREQUIPA,3,1,33.33,1660264.0,False
MUNICIPALIDAD DISTRITAL DE COCHABAMBA,HUANCAVELICA,3,1,33.33,768767.0,False
MUNICIPALIDAD DISTRITAL DE CONCHUCOS,ANCASH,3,1,33.33,1674901.0,False
MUNICIPALIDAD DISTRITAL DE CONGAS,ANCASH,3,1,33.33,1226049.0,False
MUNICIPALIDAD DISTRITAL DE EL INGENIO,ICA,3,1,33.33,252068.0,False
MUNICIPALIDAD DISTRITAL DE HUEPETUHE,MADRE DE DIOS,3,1,33.33,1049522.0,False
MUNICIPALIDAD DISTRITAL DE JESUS,CAJAMARCA,3,1,33.33,4891317.0,False
MUNICIPALIDAD DISTRITAL DE KCOSÑIPATA,CUSCO,3,1,33.33,819000.0,False
MUNICIPALIDAD DISTRITAL DE ONGON,LA LIBERTAD,3,1,33.33,617086.0,False
MUNICIPALIDAD DISTRITAL DE PITIPO,LAMBAYEQUE,3,1,33.33,1371599.0,False
MUNICIPALIDAD DISTRITAL DE SALLIQUE,CAJAMARCA,3,1,33.33,2225799.0,False
MUNICIPALIDAD DISTRITAL DE SANTA MARIA DEL VALLE,HUANUCO,3,1,33.33,2963764.0,False
MUNICIPALIDAD DISTRITAL DE SANTA ROSA - MELGAR,PUNO,3,1,33.33,355595.0,False
MUNICIPALIDAD DISTRITAL DE TUCUME,LAMBAYEQUE,3,1,33.33,3398720.0,False
MUNICIPALIDAD DISTRITAL DE YACUS,HUANUCO,3,1,33.33,1057885.0,False
MUNICIPALIDAD PROVINCIAL DE CONTUMAZA,CAJAMARCA,3,1,33.33,393075.0,False
MUNICIPALIDAD PROVINCIAL DE YAROWILCA - CHAVINILLO,HUANUCO,3,1,33.33,669486.0,False
PROGRAMA NACIONAL CUNA MAS,LIMA,3,1,33.33,915565.0,False
PROGRAMA NACIONAL DE TELECOMUNICACIONES,LIMA,3,1,33.33,9841522.0,False
SERVICIO NACIONAL DE CAPACITACION PARA LA INDUSTRIA DE LA CONSTRUCCION,LIMA,3,1,33.33,1552092.0,False
SUPERINTENDENCIA NACIONAL DE ASEGURAMIENTO EN SALUD,LIMA,3,1,33.33,6923286.0,False
UNIDAD DE GESTION EDUCATIVA LOCAL UGEL 06 - VITARTE,LIMA,3,1,33.33,640506.0,False
UNIVERSIDAD NACIONAL AUTONOMA DE ALTO AMAZONAS,LORETO,3,1,33.33,924440.0,False
UNIVERSIDAD NACIONAL SAN MARTIN,SAN MARTIN,3,1,33.33,843521.0,False
GOBIERNO REGIONAL DE LAMBAYEQUE - PROYECTO ESPECIAL OLMOS - TINAJONES,LAMBAYEQUE,13,4,30.77,12766313.0,False
INSTITUTO PERUANO DEL DEPORTE,LIMA,13,4,30.77,5967877.0,False
MUNICIPALIDAD PROVINCIAL DE SULLANA,PIURA,13,4,30.77,6962819.0,False
GOBIERNO REGIONAL DE MADRE DE DIOS - HOSPITAL SANTA ROSA DE PUERTO MALDONADO,MADRE DE DIOS,10,3,30.0,1235519.0,False
GOBIERNO REGIONAL DE PUNO-SALUD SAN ROMAN,PUNO,10,3,30.0,1975056.0,False
SERVICIO NACIONAL DE METEOROLOGIA E HIDROLOGIA,LIMA,10,3,30.0,2183461.0,False
MUNICIPALIDAD PROVINCIAL DE CHICLAYO,LAMBAYEQUE,14,4,28.57,10432307.0,False
DEFENSORIA DEL PUEBLO,LIMA,7,2,28.57,1459911.0,False
EMPRESA PERUANA DE SERVICIO EDITORIALES,LIMA,7,2,28.57,1545995.0,False
FONDO INTANGIBLE SOLIDARIO DE SALUD,LIMA,7,2,28.57,100621469.0,False
GOBIERNO REGIONAL DE CAJAMARCA - SALUD CAJAMARCA,CAJAMARCA,7,2,28.57,1444692.0,False
GOBIERNO REGIONAL DE JUNIN - HOSPITAL REGIONAL DOCENTE DE MEDICINA TROPICAL DR. JULIO CESAR DEMARINI CARO,JUNIN,7,2,28.57,1505948.0,False
GOBIERNO REGIONAL DE PIURA-HOSPITAL DE APOYO I SANTA ROSA PIURA,PIURA,7,2,28.57,3373290.0,False
UNIDAD EJECUTORA DEL PLIEGO 011 MINISTERIO DE SALUD-DIRECCION DE REDES INTEGRADAS DE SALUD LIMA SUR,LIMA,7,2,28.57,2020371.0,False
ZONA ARQUEOLOGICA CARAL,LIMA,7,2,28.57,713047.0,False
AGENCIA DE PROMOCION DE LA INVERSION PRIVADA - PROINVERSION,LIMA,11,3,27.27,1474516.0,False
GOBIERNO REGIONAL DE JUNÍN - INSTITUTO REGIONAL DE ENFERMEDADES NEOPLÁSICAS DEL CENTRO,JUNIN,11,3,27.27,2184082.0,False
MUNICIPALIDAD DISTRITAL DE MACHUPICCHU,CUSCO,11,3,27.27,1434297.0,False
CORPORACION FINANCIERA DE DESARROLLO S.A.,LIMA,12,3,25.0,2963058.0,False
BANCO DE LA NACION,LIMA,8,2,25.0,10623079.0,False
EMPRESA DE GENERACION ELECTRICA DE AREQUIPA S.A. - EGASA,AREQUIPA,8,2,25.0,4250634.0,False
GOBIERNO REGIONAL DE PIURA - PROYECTO ESPECIAL DE IRRIGACION HIDROENERGETICO DEL ALTO PIURA,PIURA,8,2,25.0,2520847.0,False
MINISTERIO DE ENERGIA Y MINAS,LIMA,8,2,25.0,12514016.0,False
MINISTERIO DE LA MUJER Y POBLACIONES VULNERABLES- ADMINISTRACIÓN GENERAL,LIMA,8,2,25.0,3261326.0,False
MINISTERIO DE LA PRODUCCIÓN,LIMA,8,2,25.0,35191114.0,False
MUNICIPALIDAD DISTRITAL DE LONGAR,AMAZONAS,8,2,25.0,7533977.0,False
MUNICIPALIDAD DISTRITAL DE TENIENTE CESAR LOPEZ ROJAS,LORETO,8,2,25.0,7256681.0,False
MUNICIPALIDAD DISTRITAL DE YURUA,UCAYALI,8,2,25.0,3760993.0,False
CORTE SUPERIOR DE JUSTICIA DE LIMA NORTE,LIMA,4,1,25.0,852910.0,False
DIRECCION DE  AVIACION  POLICIAL - PNP,CALLAO,4,1,25.0,29588788.0,False
GOBIERNO REGIONAL DE HUANUCO - RED DE SALUD DE DOS DE MAYO UNIDAD EJECUTORA 406,HUANUCO,4,1,25.0,427292.0,False
GOBIERNO REGIONAL DE SAN MARTIN - PROYECTO ESPECIAL ALTO MAYO,SAN MARTIN,4,1,25.0,1359948.0,False
GOBIERNO REGIONAL DE SAN MARTÍN - SALUD ALTO HUALLAGA,SAN MARTIN,4,1,25.0,443741.0,False
MUNICIPALIDAD DISTRITAL DE ANANEA,PUNO,4,1,25.0,2487704.0,False
MUNICIPALIDAD DISTRITAL DE BELEN - MAYNAS,LORETO,4,1,25.0,10154904.0,False
MUNICIPALIDAD DISTRITAL DE CHILCA - HUANCAYO,JUNIN,4,1,25.0,516878.0,False
MUNICIPALIDAD DISTRITAL DE LAS LOMAS,PIURA,4,1,25.0,2618998.0,False
MUNICIPALIDAD DISTRITAL DE LINCE,LIMA,4,1,25.0,554365.0,False
MUNICIPALIDAD DISTRITAL DE MAGDALENA DEL MAR,LIMA,4,1,25.0,2800370.0,False
MUNICIPALIDAD DISTRITAL DE MOTUPE,LAMBAYEQUE,4,1,25.0,1047184.0,False
MUNICIPALIDAD DISTRITAL DE SAMANCO,ANCASH,4,1,25.0,1673892.0,False
MUNICIPALIDAD DISTRITAL DE TROMPETEROS,LORETO,4,1,25.0,1330366.0,False
MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA,LIMA,4,1,25.0,3036705.0,False
MUNICIPALIDAD PROVINCIAL DE JULCAN,LA LIBERTAD,4,1,25.0,971636.0,False
PROGRAMA DEL GOBIERNO REGIONAL DE LIMA METROPOLITANA,LIMA,4,1,25.0,2557064.0,False
SUPERINTENDENCIA NACIONAL DE FISCALIZACION LABORAL,LIMA,4,1,25.0,7222365.0,False
UNIDAD DE GESTION EDUCATIVA LOCAL UGEL 02 - RIMAC,LIMA,4,1,25.0,8394044.0,False
UNIDAD EJECUTORA 003:PROGRAMA MODERNIZACION DEL SISTEMA DE ADMINISTRACION DE JUSTICIA,LIMA,4,1,25.0,183600.0,False
UNIVERSIDAD NACIONAL DE LA AMAZONIA PERUANA,LORETO,4,1,25.0,1160248.0,False
UNIVERSIDAD NACIONAL DEL ALTIPLANO,PUNO,4,1,25.0,511667.0,False
UNIVERSIDAD NACIONAL DEL SANTA,ANCASH,4,1,25.0,1634239.0,False
UNIVERSIDAD NACIONAL INTERCULTURAL DE LA SELVA CENTRAL JUAN SANTOS ATAHUALPA,JUNIN,4,1,25.0,1842148.0,False
GOBIERNO REGIONAL DE CAJAMARCA-HOSPITAL CAJAMARCA,CAJAMARCA,13,3,23.08,4997217.0,False
GOBIERNO REGIONAL DE LAMBAYEQUE - HOSPITAL REGIONAL LAMBAYEQUE,LAMBAYEQUE,13,3,23.08,8168369.0,False
EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL ORIENTE,LORETO,9,2,22.22,10433707.0,False
GOBIERNO REGIONAL DE ANCASH-SALUD UTES RECUAY CARHUAZ,ANCASH,9,2,22.22,1577500.0,False
GOBIERNO REGIONAL DE AYACUCHO - UNIDAD EJECUTORA SALUD CENTRO AYACUCHO,AYACUCHO,9,2,22.22,1707963.0,False
GOBIERNO REGIONAL DE LA LIBERTAD - U.E. 403-SALUD TRUJILLO-SUR OESTE,LA LIBERTAD,9,2,22.22,4101572.0,False
GOBIERNO REGIONAL DE PIURA-HOSPITAL DE APOYO III SULLANA,PIURA,9,2,22.22,2786691.0,False
UNIVERSIDAD NACIONAL SANTIAGO ANTUNEZ DE MAYOLO,ANCASH,9,2,22.22,2603891.0,False
MUNICIPALIDAD PROVINCIAL DE MORROPON - CHULUCANAS,PIURA,14,3,21.43,11078422.0,False
DIRECCION DE REDES INTEGRADAS DE SALUD LIMA CENTRO,LIMA,10,2,20.0,6453611.0,False
GOBIERNO REGIONAL DE CUSCO - UNIDAD EJECUTORA HOSPITAL ANTONIO LORENA,CUSCO,10,2,20.0,3413571.0,False
MUNICIPALIDAD DISTRITAL DE ANCON,LIMA,10,2,20.0,5396666.0,False
DESPACHO PRESIDENCIAL,LIMA,5,1,20.0,4781161.0,False
EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE TAMBOPATA S.R.L.,MADRE DE DIOS,5,1,20.0,1498838.0,False
EMPRESA REGIONAL DE SERVICIO PUBLICO DE ELECTRICIDAD - ELECTROSUR S.A.,TACNA,5,1,20.0,723414.0,False
GOBIERNO REGIONAL DE APURIMAC - HOSPITAL GUILLERMO DIAZ DE LA VEGA ABANCAY,APURIMAC,5,1,20.0,494201.0,False
GOBIERNO REGIONAL DE HUANCAVELICA-AGRICULTURA,HUANCAVELICA,5,1,20.0,1208929.0,False
GOBIERNO REGIONAL DE JUNIN - DIRECCIÓN REGIONAL DE SALUD DE JUNIN - RED DE SALUD - TARMA,JUNIN,5,1,20.0,605514.0,False
GOBIERNO REGIONAL DE JUNIN - HOSPITAL EL CARMEN,JUNIN,5,1,20.0,1579191.0,False
GOBIERNO REGIONAL DE UCAYALI - RED DE SALUD Nº 04 - AGUAYTIA- SAN ALEJANDRO,UCAYALI,5,1,20.0,1086519.0,False
HOSPITAL NACIONAL ARZOBISPO LOAYZA,LIMA,5,1,20.0,1889090.0,False
INSTITUTO PERUANO DE ENERGIA NUCLEAR,LIMA,5,1,20.0,1671795.0,False
