mes,procesos,monto_total,monto_mediano
2026-06,7056,7246960588.0,170449.0
2026-08,6632,5476344054.0,113974.0
2026-07,6485,8700360619.0,166000.0
2026-09,246,479378347.0,99911.0
2026-03,2,552092.0,276046.0
2026-04,1,969739.0,969739.0
