ccpp_id,departamento,distrito,poblacion,peso_muestral,ipress_mas_cercana_pie,t_pie_seg,dist_pie_m,t_pie_min,alcanzable_pie,snap_colapsado_pie
CP001052,AYACUCHO,AYACUCHO,0.0,0.0,00003556,337.3,468.1,5.621666666666667,True,False
CP001065,AYACUCHO,ACOCRO,1133.805160522461,1133.805160522461,00003544,73.6,102.2,1.2266666666666666,True,False
CP001100,AYACUCHO,ACOS VINCHOS,4362.2249755859375,4362.2249755859375,00003551,192.1,266.8,3.2016666666666667,True,False
CP001142,AYACUCHO,CARMEN ALTO,15326.134536743164,15326.134536743164,00003560,166.8,231.6,2.7800000000000002,True,False
CP001157,AYACUCHO,CHIARA,176.54368591308594,176.54368591308594,00003565,197.8,274.6,3.296666666666667,True,False
CP001186,AYACUCHO,CHIARA,3084.119125366211,3084.119125366211,00003563,32.1,44.6,0.535,True,False
CP001205,AYACUCHO,OCROS,1397.953369140625,1397.953369140625,00003577,112.8,156.7,1.88,True,False
CP001267,AYACUCHO,PACAYCASA,388.6552391052246,388.6552391052246,00003609,109.8,152.6,1.8299999999999998,True,False
CP001287,AYACUCHO,QUINUA,1644.2931499481201,1644.2931499481201,00003595,666.1,925.0,11.101666666666667,True,False
CP001332,AYACUCHO,AYACUCHO,2028.7744140625,2028.7744140625,00006898,7738.7,10747.8,128.97833333333332,True,False
CP001345,AYACUCHO,SAN JOSE DE TICLLAS,3021.22412109375,3021.22412109375,00006792,1200.1,1666.4,20.001666666666665,True,False
CP001352,AYACUCHO,SAN JUAN BAUTISTA,3934.32950592041,3934.32950592041,00029753,46.5,64.7,0.775,True,False
CP001354,AYACUCHO,SANTIAGO DE PISCHA,456.1363220214844,456.1363220214844,00003618,103.3,143.6,1.7216666666666667,True,False
CP001364,AYACUCHO,SANTIAGO DE PISCHA,2705.45121383667,2705.45121383667,00003613,7.8,10.9,0.13,True,False
CP001387,AYACUCHO,SOCOS,3654.9765014648438,3654.9765014648438,00003619,332.3,461.6,5.538333333333333,True,False
CP001423,AYACUCHO,TAMBILLO,150.63393020629883,150.63393020629883,00003549,1522.1,2114.0,25.368333333333332,True,False
CP001461,AYACUCHO,VINCHOS,9268.595092773438,9268.595092773438,00003630,345.6,480.3,5.760000000000001,True,False
CP001606,AYACUCHO,JESUS NAZARENO,7240.271049499512,7240.271049499512,00038754,177.9,247.0,2.9650000000000003,True,False
CP001613,AYACUCHO,JESUS NAZARENO,4578.96102142334,4578.96102142334,00031727,1137.7,1580.8,18.961666666666666,True,False
CP001709,AYACUCHO,HUAMANGUILLA,1728.4732723236084,1728.4732723236084,00003650,219.2,304.3,3.6533333333333333,True,False
CP001725,AYACUCHO,SAN MIGUEL,4893.525737762451,4893.525737762451,00038223,96.1,133.5,1.6016666666666666,True,False
CP001755,AYACUCHO,SAN MIGUEL,2798.2415103912354,2798.2415103912354,00003795,2743.1,3809.7,45.718333333333334,True,False
CP001780,AYACUCHO,ANCO,157.27967834472656,157.27967834472656,00003789,232.2,322.4,3.8699999999999997,True,False
CP001903,AYACUCHO,ORONCCOY,2404.864418029785,2404.864418029785,00003782,81259.9,112860.4,1354.3316666666665,True,False
CP001904,AYACUCHO,LUIS CARRANZA,0.0,0.0,00003781,679.4,944.0,11.323333333333332,True,False
CP001966,AYACUCHO,CANGALLO,2314.9082012176514,2314.9082012176514,00038191,140.4,195.0,2.3400000000000003,True,False
CP002013,AYACUCHO,CHUSCHI,4459.5438232421875,4459.5438232421875,00003502,152.0,211.1,2.533333333333333,True,False
CP002035,AYACUCHO,LOS MOROCHUCOS,452.1260075569153,583.7447992202589,00026012,65.1,90.4,1.085,True,False
CP002094,AYACUCHO,MARIA PARADO DE BELLIDO,969.6702041625977,969.6702041625977,00003509,15.5,21.6,0.25833333333333336,True,False
CP002134,AYACUCHO,PARAS,3093.9200286865234,3093.9200286865234,00003584,294.9,409.4,4.915,True,False
CP002188,AYACUCHO,TOTOS,336.23889541625977,336.23889541625977,00003623,353.2,490.7,5.886666666666667,True,False
CP002238,AYACUCHO,SANCOS,2082.363609313965,2082.363609313965,00011440,167.0,231.8,2.783333333333333,True,False
CP002281,AYACUCHO,CARAPO,698.1659317016602,698.1659317016602,00003641,149.9,208.2,2.4983333333333335,True,False
CP002305,AYACUCHO,CARAPO,738.3920974731445,738.3920974731445,00003637,262.8,365.1,4.38,True,False
CP002339,AYACUCHO,SACSAMARCA,1017.8285140991211,1017.8285140991211,00003643,335.5,466.0,5.591666666666667,True,False
CP002451,AYACUCHO,SANTIAGO DE LUCANAMARCA,2590.833984375,2590.833984375,00003645,41923.7,58227.6,698.7283333333332,True,False
CP002506,AYACUCHO,BELEN,0.0,0.0,00003803,182.6,253.8,3.0433333333333334,True,False
CP002510,AYACUCHO,CHALCOS,595.629638671875,595.629638671875,00003804,34.4,47.7,0.5733333333333334,True,False
CP002526,AYACUCHO,CHILCAYOC,524.314323425293,524.314323425293,00003805,284.4,395.0,4.739999999999999,True,False
CP002543,AYACUCHO,SAN SALVADOR DE QUIJE,0.0,0.0,00003806,206.1,286.7,3.435,True,False
