cod_ipress,nombre,categoria,institucion,departamento,provincia,distrito,lon,lat
00029354,"CENTRO DE SALUD MILITAR DE LA SEGUNDA BRIGADA DE INFANTERIA ""WARI""",I-3,SANIDAD DEL EJERCITO DEL PERU,AYACUCHO,HUAMANGA,ANDRES AVELINO CACERES D.,-74.2235641,-13.1638737
00003630,CENTRO DE SALUD VINCHOS,I-4,GOBIERNO REGIONAL,AYACUCHO,HUAMANGA,VINCHOS,-74.35620052,-13.24407887
00004332,PEDRO PABLO ATUSPARIAS,I-3,GOBIERNO REGIONAL,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,-79.8272092,-6.75740074
00004417,CENTRO DE SALUD COLAYA,I-3,GOBIERNO REGIONAL,LAMBAYEQUE,LAMBAYEQUE,SALAS,-79.50655055,-6.08278065
00000026,PROGRESO DE SAN JUAN BAUTISTA,I-3,GOBIERNO REGIONAL,LORETO,MAYNAS,SAN JUAN BAUTISTA,-73.287,-3.774418
00023761,SANTO DOMINGO ESPECIALIDADES MEDICAS,I-3,PRIVADO,AYACUCHO,HUAMANGA,AYACUCHO,-74.2235641,-13.1638737
00003639,CENTRO DE SALUD HUANCASANCOS,I-4,GOBIERNO REGIONAL,AYACUCHO,HUANCA SANCOS,SANCOS,-74.33578849,-13.92375464
00006839,CENTRO DE SALUD SAN MARCOS,I-3,GOBIERNO REGIONAL,AYACUCHO,PARINACOCHAS,CORACORA,-73.783145,-15.02192
00000137,CENTRO DE SALUD I-3 SAN ROQUE DE MAQUIA,I-3,GOBIERNO REGIONAL,LORETO,REQUENA,MAQUIA,-74.59743523,-5.83218091
00023792,clinica odonto stetic E.I.R.L,I-3,PRIVADO,LORETO,MAYNAS,IQUITOS,-73.25176671,-3.75561322
00021249,"CENTRO MEDICO PEDIATRICO ""SANIKIDS"" S.A.C.",I-3,PRIVADO,LAMBAYEQUE,CHICLAYO,CHICLAYO,-79.8409918,-6.7762975
00023790,CENTRO MEDICO DE ESPECIALIDADES PEDIATRICAS - CUNINA,I-3,PRIVADO,AYACUCHO,HUAMANGA,AYACUCHO,-74.22765277,-13.15423082
00010605,HOSPITAL REGIONAL DEL ORIENTE - FAP,I-4,SANIDAD DE LA FUERZA AEREA DEL PERU,LORETO,MAYNAS,IQUITOS,-73.2516326,-3.7436735
00000123,SAN PABLO,I-3,GOBIERNO REGIONAL,LORETO,MARISCAL RAMON CASTILLA,SAN PABLO,-71.10453333,-4.01976667
00003507,CENTRO DE SALUD PAMPA CANGALLO,I-4,GOBIERNO REGIONAL,AYACUCHO,CANGALLO,LOS MOROCHUCOS,-74.197615,-13.55955833
