departamento,provincia,distrito,ubigeo,nivel,puntos,poblacion,poblacion_con_acceso_vial,pct_sin_acceso_vial,t_medio_pond_min,t_p50_pond_min,t_p90_pond_min
LORETO,ALTO AMAZONAS,LAGUNAS,160206,distrito,34,13721,12753,7.05,1729.9,1726.6,1743.0
LORETO,ALTO AMAZONAS,SANTA CRUZ,160210,distrito,18,4558,695,84.76,869.7,869.7,869.7
AYACUCHO,LA MAR,ORONCCOY,050511,distrito,31,11943,1623,86.41,451.0,451.0,459.8
LORETO,DATEM DEL MARAÑON,MANSERICHE,160703,distrito,29,11071,10866,1.85,407.2,407.2,411.8
LORETO,UCAYALI,PAMPA HERMOSA,160604,distrito,31,13004,9633,25.92,295.6,295.6,295.6
AYACUCHO,LUCANAS,HUAC-HUAS,050607,distrito,15,2991,2991,0.0,286.9,286.9,286.9
AYACUCHO,LUCANAS,LARAMATE,050608,distrito,12,1256,972,22.56,264.9,270.5,272.8
LORETO,UCAYALI,INAHUAYA,160602,distrito,8,2863,2863,0.0,255.0,255.0,255.0
AYACUCHO,LUCANAS,LLAUTA,050610,distrito,12,1062,1062,0.0,247.9,247.9,247.9
AYACUCHO,PAUCAR DEL SARA SARA,CORCULLA,050803,distrito,11,399,231,42.06,209.9,209.9,226.0
AYACUCHO,LUCANAS,SAN PEDRO DE PALCO,050618,distrito,12,1325,558,57.85,209.5,209.5,209.5
AYACUCHO,HUANCA SANCOS,SANTIAGO DE LUCANAMARCA,050304,distrito,14,2591,2591,0.0,198.0,198.0,198.0
AYACUCHO,LUCANAS,OTOCA,050613,distrito,15,3155,3155,0.0,194.9,194.9,194.9
AYACUCHO,PAUCAR DEL SARA SARA,SAN JOSE DE USHUA,050809,distrito,10,170,170,0.0,193.6,193.6,194.6
AYACUCHO,LA MAR,CHUNGUI,050505,distrito,14,2638,1162,55.97,192.3,143.4,272.6
AYACUCHO,PAUCAR DEL SARA SARA,OYOLO,050806,distrito,12,1234,1157,6.22,177.2,175.2,187.1
LAMBAYEQUE,FERREÑAFE,CAÑARIS,140202,distrito,34,13897,12736,8.36,173.0,181.8,191.2
LORETO,UCAYALI,VARGAS GUERRA,160606,distrito,25,8756,5891,32.72,168.7,168.7,168.7
AYACUCHO,SUCRE,CHALCOS,050903,distrito,11,596,596,0.0,163.0,163.0,163.0
AYACUCHO,LUCANAS,SANCOS,050619,distrito,26,9242,8595,6.99,160.1,210.9,214.7
AYACUCHO,PARINACOCHAS,CORONEL CASTAÑEDA,050703,distrito,14,2199,2026,7.87,159.0,162.0,204.9
AYACUCHO,SUCRE,SANTIAGO DE PAUCARAY,050910,distrito,11,663,663,0.0,157.9,157.9,157.9
AYACUCHO,SUCRE,PAICO,050907,distrito,11,783,783,0.0,155.6,155.6,155.6
AYACUCHO,SUCRE,CHILCAYOC,050904,distrito,11,524,524,0.0,153.5,153.5,153.5
LORETO,UCAYALI,SARAYACU,160605,distrito,38,16185,16185,0.0,151.5,151.5,151.5
AYACUCHO,SUCRE,SORAS,050911,distrito,12,1375,1375,0.0,149.3,147.5,158.6
AYACUCHO,VICTOR FAJARDO,VILCANCHOS,051012,distrito,15,2704,2704,0.0,148.6,148.7,157.8
AYACUCHO,LUCANAS,SANTA LUCIA,050621,distrito,11,828,828,0.0,148.4,149.9,151.2
AYACUCHO,CANGALLO,TOTOS,050206,distrito,16,3482,3482,0.0,142.7,140.0,151.3
LAMBAYEQUE,FERREÑAFE,INCAHUASI,140203,distrito,34,13914,13624,2.09,140.8,143.6,156.3
AYACUCHO,CANGALLO,PARAS,050205,distrito,17,4295,3721,13.35,138.8,142.6,146.1
AYACUCHO,HUANCA SANCOS,SANCOS,050301,distrito,17,3989,3542,11.21,135.2,114.8,223.5
AYACUCHO,VILCAS HUAMAN,CONCEPCION,051104,distrito,16,3700,3700,0.0,130.8,129.5,138.9
AYACUCHO,HUAMANGA,OCROS,050106,distrito,21,6270,6270,0.0,129.1,133.6,141.3
LORETO,REQUENA,SOPLIN,160508,distrito,11,678,678,0.0,126.1,126.1,126.1
LORETO,REQUENA,REQUENA,160501,distrito,62,29661,28088,5.3,126.1,126.1,126.1
LORETO,REQUENA,SAQUENA,160507,distrito,19,5177,4245,18.01,126.1,126.1,126.1
LORETO,REQUENA,CAPELO,160503,distrito,16,4408,4408,0.0,126.1,126.1,126.1
LORETO,REQUENA,JENARO HERRERA,160510,distrito,20,5839,5839,0.0,126.1,126.1,126.1
LORETO,REQUENA,YAQUERANA,160511,distrito,15,3172,1605,49.4,125.8,125.8,125.9
AYACUCHO,VILCAS HUAMAN,CARHUANCA,051103,distrito,12,943,943,0.0,125.1,125.1,127.7
AYACUCHO,SUCRE,QUEROBAMBA,050901,distrito,14,2523,2523,0.0,120.2,117.2,138.6
LORETO,LORETO,NAUTA,160301,distrito,70,34496,28821,16.45,119.1,122.5,125.0
AYACUCHO,VILCAS HUAMAN,SAURAMA,051107,distrito,12,1206,1206,0.0,115.9,115.9,115.9
AYACUCHO,PAUCAR DEL SARA SARA,MARCABAMBA,050805,distrito,11,758,758,0.0,115.2,114.3,117.5
AYACUCHO,HUANCA SANCOS,SACSAMARCA,050303,distrito,12,1400,1400,0.0,112.3,115.4,118.2
AYACUCHO,SUCRE,MORCOLLA,050906,distrito,12,1165,624,46.42,111.7,112.2,114.7
AYACUCHO,VILCAS HUAMAN,HUAMBALPA,051105,distrito,14,2150,2150,0.0,110.7,110.7,110.9
AYACUCHO,VILCAS HUAMAN,ACCOMARCA,051102,distrito,11,829,829,0.0,109.1,109.1,109.1
AYACUCHO,PAUCAR DEL SARA SARA,LAMPA,050804,distrito,14,2643,2643,0.0,105.9,105.8,109.7
AYACUCHO,VICTOR FAJARDO,HUAMANQUIQUIA,051008,distrito,12,1262,1262,0.0,100.4,101.0,104.6
AYACUCHO,LA MAR,LUIS CARRANZA,050506,distrito,12,1048,1048,0.0,99.5,102.1,111.8
AYACUCHO,LUCANAS,SAISA,050614,distrito,12,964,964,0.0,98.3,98.3,105.3
AYACUCHO,LUCANAS,CHIPAO,050606,distrito,16,3747,3389,9.57,97.4,91.3,136.9
AYACUCHO,LA MAR,ANCO,050502,distrito,35,14329,12047,15.92,96.4,90.5,114.8
AYACUCHO,PAUCAR DEL SARA SARA,PAUSA,050801,distrito,15,2816,2816,0.0,93.8,91.8,100.2
AYACUCHO,LUCANAS,LEONCIO PRADO,050609,distrito,12,1291,1291,0.0,93.5,93.5,93.5
AYACUCHO,HUANCA SANCOS,CARAPO,050302,distrito,14,2386,2386,0.0,92.8,89.5,100.9
LAMBAYEQUE,CHICLAYO,OYOTUN,140110,distrito,25,8843,8843,0.0,92.1,75.9,162.2
LAMBAYEQUE,LAMBAYEQUE,OLMOS,140308,distrito,84,42531,36297,14.66,86.7,85.3,107.1
AYACUCHO,PARINACOCHAS,UPAHUACHO,050708,distrito,17,4088,4088,0.0,86.3,88.0,93.1
AYACUCHO,PARINACOCHAS,PULLO,050705,distrito,20,5566,5363,3.64,83.9,64.0,161.9
AYACUCHO,VILCAS HUAMAN,VILCAS HUAMAN,051101,distrito,25,8624,8624,0.0,82.4,70.2,96.4
LORETO,MAYNAS,ALTO NANAY,160102,distrito,15,2745,872,68.23,80.8,80.8,80.8
LORETO,LORETO,TIGRE,160303,distrito,25,8741,1155,86.79,80.8,80.8,80.8
AYACUCHO,PAUCAR DEL SARA SARA,PARARCA,050807,distrito,10,636,636,0.0,80.2,80.2,80.2
LORETO,ALTO AMAZONAS,BALSAPUERTO,160202,distrito,43,19109,2815,85.27,78.4,91.6,97.7
AYACUCHO,VICTOR FAJARDO,SARHUA,051011,distrito,15,2730,2730,0.0,78.0,77.6,80.5
AYACUCHO,LUCANAS,SANTA ANA DE HUAYCAHUACHO,050620,distrito,7,643,643,0.0,76.5,76.5,76.5
AYACUCHO,LA MAR,UNION PROGRESO,050512,distrito,7,2991,2991,0.0,76.4,76.7,77.4
LAMBAYEQUE,LAMBAYEQUE,SALAS,140310,distrito,31,11840,11840,0.0,74.6,57.1,121.4
