conjunto,n_puntos,n_enganchados,n_fallidos,snap_medio_m,snap_mediana_m,snap_p95_m,snap_max_m,n_snap_mayor_1km,n_snap_mayor_5km
demanda-car,5000,5000,0,5887.6,356.0,34802.9,133753.9,1901,1124
oferta-car,44,44,0,15.0,9.6,44.0,61.0,0,0
