documento,fragmentos,car_min,car_p25,car_mediana,car_p75,car_max,car_medio,paginas_cubiertas
ds_001_2026_ef,152,51,852,870,886,900,820.4,16
ley_32069,359,41,458,678,801,898,611.8,63
